prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
9,206,pcb1,printed circuit board,specific,{} with scratch,printed circuit board with scratch,0.9960238568588468,0.9970178926441352,-1.828125,-2.6953125,-1.8026683648111328,0.6817198783772095,1006,high,visa,90.83,93.13,94.63
4,201,pcb1,printed circuit board,generic,blemished {},blemished printed circuit board,0.4652087475149105,0.5009940357852882,0.046875,-0.8125,0.0540196322067594,0.6722616780999149,1006,high,visa,90.83,93.13,94.63
11,208,pcb1,printed circuit board,specific,{} with melt,printed circuit board with melt,0.3906560636182902,0.4194831013916501,0.203125,-0.71875,0.1930914512922465,0.693533257694296,1006,high,visa,90.83,93.13,94.63
6,203,pcb1,printed circuit board,generic,{} with defect,printed circuit board with defect,0.2196819085487077,0.2495029821073558,0.625,-0.484375,0.6126211481113321,0.8371515947664313,1006,medium,visa,90.83,93.13,94.63
8,205,pcb1,printed circuit board,specific,{} with bent,printed circuit board with bent,0.2087475149105367,0.2316103379721669,0.5234375,-0.375,0.5025938121272365,0.6520305093142847,1006,medium,visa,90.83,93.13,94.63
10,207,pcb1,printed circuit board,specific,{} with missing,printed circuit board with missing,0.1451292246520874,0.1719681908548707,0.734375,-0.15625,0.74339898111332,0.7141920636865363,1006,medium,visa,90.83,93.13,94.63
7,204,pcb1,printed circuit board,generic,{} with damage,printed circuit board with damage,0.0427435387673956,0.0566600397614314,1.1875,0.28125,1.2185480864811131,0.7284558043848914,1006,low,visa,90.83,93.13,94.63
3,200,pcb1,printed circuit board,generic,imperfect {},imperfect printed circuit board,0.0278330019880715,0.0337972166998011,1.390625,0.453125,1.3524478131212725,0.6874347404262238,1006,low,visa,90.83,93.13,94.63
2,199,pcb1,printed circuit board,generic,abnormal {},abnormal printed circuit board,0.0119284294234592,0.0119284294234592,2.09375,0.9609375,2.080470303180914,0.8447877402141238,1006,low,visa,90.83,93.13,94.63
5,202,pcb1,printed circuit board,generic,{} with flaw,printed circuit board with flaw,0.0019880715705765,0.0019880715705765,2.125,1.25,2.1113320079522864,0.6700770845360049,1006,low,visa,90.83,93.13,94.63
0,197,pcb1,printed circuit board,generic,damaged {},damaged printed circuit board,0.0,0.0,3.03125,2.09375,3.009955889662028,0.7107936147323379,1006,low,visa,90.83,93.13,94.63
1,198,pcb1,printed circuit board,generic,flawed {},flawed printed circuit board,0.0,0.0,3.234375,2.453125,3.2238754970178927,0.5897377692086242,1006,low,visa,90.83,93.13,94.63
9,218,pcb2,printed circuit board,specific,{} with scratch,printed circuit board with scratch,0.7387836490528414,0.7826520438683948,-0.34375,-1.171875,-0.3991774675972084,0.583765342825621,1003,high,visa,64.16,74.89,76.89
11,220,pcb2,printed circuit board,specific,{} with melt,printed circuit board with melt,0.423728813559322,0.4755732801595214,0.09375,-0.715625,0.0572968594217348,0.5828030835657237,1003,high,visa,64.16,74.89,76.89
3,212,pcb2,printed circuit board,generic,imperfect {},imperfect printed circuit board,0.3728813559322034,0.423728813559322,0.15625,-0.671875,0.1368083250249252,0.6032378460111365,1003,high,visa,64.16,74.89,76.89
4,213,pcb2,printed circuit board,generic,blemished {},blemished printed circuit board,0.2701894317048853,0.2991026919242273,0.40625,-0.484375,0.3296205134596211,0.6192667645864716,1003,medium,visa,64.16,74.89,76.89
8,217,pcb2,printed circuit board,specific,{} with bent,printed circuit board with bent,0.102691924227318,0.1186440677966101,0.734375,-0.015625,0.6801159022931207,0.5028253136162881,1003,medium,visa,64.16,74.89,76.89
10,219,pcb2,printed circuit board,specific,{} with missing,printed circuit board with missing,0.0677966101694915,0.0917248255234297,0.828125,0.09375,0.8108175473579262,0.5397338936534296,1003,medium,visa,64.16,74.89,76.89
1,210,pcb2,printed circuit board,generic,flawed {},flawed printed circuit board,0.0089730807577268,0.0089730807577268,1.546875,0.796875,1.5114032901296113,0.5336769061764658,1003,low,visa,64.16,74.89,76.89
0,209,pcb2,printed circuit board,generic,damaged {},damaged printed circuit board,0.0,0.0,4.15625,3.421875,4.114640453639082,0.519571168697927,1003,low,visa,64.16,74.89,76.89
2,211,pcb2,printed circuit board,generic,abnormal {},abnormal printed circuit board,0.0,0.0,3.28125,2.58125,3.2620108424725824,0.5145573350774112,1003,low,visa,64.16,74.89,76.89
5,214,pcb2,printed circuit board,generic,{} with flaw,printed circuit board with flaw,0.0,0.0,1.6875,0.9375,1.6612194666001994,0.5131659237064841,1003,low,visa,64.16,74.89,76.89
6,215,pcb2,printed circuit board,generic,{} with defect,printed circuit board with defect,0.0,0.0,2.59375,1.703125,2.562827143569292,0.6725665292790535,1003,low,visa,64.16,74.89,76.89
7,216,pcb2,printed circuit board,generic,{} with damage,printed circuit board with damage,0.0,0.0,3.6875,2.984375,3.669133225324028,0.5090187105322728,1003,low,visa,64.16,74.89,76.89
6,227,pcb3,printed circuit board,generic,{} with defect,printed circuit board with defect,0.0059523809523809,0.0069444444444444,1.671875,0.90625,1.6427796378968254,0.569765632979253,1008,high,visa,70.62,71.92,75.25
1,222,pcb3,printed circuit board,generic,flawed {},flawed printed circuit board,0.0039682539682539,0.0049603174603174,1.8828125,1.140625,1.8894469246031744,0.6126702400768781,1008,high,visa,70.62,71.92,75.25
9,230,pcb3,printed circuit board,specific,{} with scratch,printed circuit board with scratch,0.0009920634920634,0.0029761904761904,1.65625,0.875,1.6458023313492065,0.559260724661876,1008,high,visa,70.62,71.92,75.25
5,226,pcb3,printed circuit board,generic,{} with flaw,printed circuit board with flaw,0.0009920634920634,0.0019841269841269,1.671875,0.921875,1.634269593253968,0.5429580963930578,1008,medium,visa,70.62,71.92,75.25
11,232,pcb3,printed circuit board,specific,{} with melt,printed circuit board with melt,0.0009920634920634,0.0019841269841269,2.0625,1.328125,2.043666294642857,0.5522492474890013,1008,medium,visa,70.62,71.92,75.25
8,229,pcb3,printed circuit board,specific,{} with bent,printed circuit board with bent,0.0,0.0009920634920634,1.859375,1.03125,1.853283110119048,0.6210845423006807,1008,medium,visa,70.62,71.92,75.25
10,231,pcb3,printed circuit board,specific,{} with missing,printed circuit board with missing,0.0009920634920634,0.0009920634920634,1.890625,1.21875,1.851407490079365,0.5007139650787175,1008,medium,visa,70.62,71.92,75.25
0,221,pcb3,printed circuit board,generic,damaged {},damaged printed circuit board,0.0,0.0,4.015625,3.109375,3.983615451388889,0.6742278633821673,1008,low,visa,70.62,71.92,75.25
2,223,pcb3,printed circuit board,generic,abnormal {},abnormal printed circuit board,0.0,0.0,4.59375,3.375,4.521685887896825,0.7972155436544599,1008,low,visa,70.62,71.92,75.25
3,224,pcb3,printed circuit board,generic,imperfect {},imperfect printed circuit board,0.0,0.0,3.3125,2.6875,3.295619419642857,0.4678310506726204,1008,low,visa,70.62,71.92,75.25
4,225,pcb3,printed circuit board,generic,blemished {},blemished printed circuit board,0.0,0.0,3.359375,2.625,3.366086929563492,0.5668572025923946,1008,low,visa,70.62,71.92,75.25
7,228,pcb3,printed circuit board,generic,{} with damage,printed circuit board with damage,0.0,0.0,3.125,2.3078125,3.0737692212301586,0.5757031688534814,1008,low,visa,70.62,71.92,75.25
3,236,pcb4,printed circuit board,generic,imperfect {},imperfect printed circuit board,0.8123138033763655,0.8341608738828202,-0.625,-1.34375,-0.5862400695134061,0.6304206829231132,1007,high,visa,81.02,77.07,83.96
14,247,pcb4,printed circuit board,specific,{} with dirt,printed circuit board with dirt,0.7130089374379345,0.7447864945382324,-0.40625,-1.2875,-0.3970642999006951,0.7026653875793353,1007,high,visa,81.02,77.07,83.96
8,241,pcb4,printed circuit board,specific,{} with scratch,printed circuit board with scratch,0.6911618669314796,0.7328699106256207,-0.3125,-1.0375,-0.3018092105263157,0.5857470993499831,1007,high,visa,81.02,77.07,83.96
13,246,pcb4,printed circuit board,specific,{} with burnt,printed circuit board with burnt,0.4319761668321747,0.4677259185700099,0.125,-0.734375,0.139461271102284,0.6873877463802414,1007,medium,visa,81.02,77.07,83.96
4,237,pcb4,printed circuit board,generic,blemished {},blemished printed circuit board,0.1847070506454816,0.2164846077457795,0.515625,-0.203125,0.5502110228401191,0.6201054108636049,1007,medium,visa,81.02,77.07,83.96
9,242,pcb4,printed circuit board,specific,{} with extra,printed circuit board with extra,0.0734856007944389,0.096325719960278,0.828125,0.0625,0.8551390268123138,0.6469494423356645,1007,medium,visa,81.02,77.07,83.96
