prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
4,189,metal_nut,metal nut,generic,blemished {},blemished metal nut,0.8333333333333334,0.875,-0.617,-0.889,0.8735,-2.26875,0.1085937499999999,24,-1.047,-1.073,0.6626,-2.05,-0.3625,93,0.4297,dangerous_useful
5,190,metal_nut,metal nut,generic,{} with flaw,metal nut with flaw,1.0,1.0,-2.262,-2.223,0.3943,-2.7015625,-1.875,24,-2.688,-2.7,0.7866,-3.75625,-1.6953125,93,0.4258,dangerous_useful
6,191,metal_nut,metal nut,generic,{} with defect,metal nut with defect,1.0,1.0,-3.926,-3.889,0.4866,-4.41875,-3.15,24,-3.758,-3.71,0.821,-4.81875,-2.796875,93,-0.168,dangerous_useless
7,192,metal_nut,metal nut,generic,{} with damage,metal nut with damage,1.0,1.0,-2.457,-2.508,0.431,-3.09609375,-1.9296875,24,-2.656,-2.672,0.619,-3.4828125,-1.9859375,93,0.1992,dangerous_useful
8,193,metal_nut,metal nut,specific,{} with a bent shape ,metal nut with a bent shape ,1.0,1.0,-4.926,-4.902,0.4592,-5.4109375,-4.17578125,24,-4.844,-4.8,0.549,-5.528125,-4.10625,93,-0.08203,dangerous_useless
9,194,metal_nut,metal nut,specific,{} with color stain,metal nut with color stain,0.25,0.25,0.9805,0.7095,0.9253,-0.7570312499999999,1.625,24,0.7188,0.523,0.749,-0.5265624999999999,1.4203125,93,0.2617,dangerous_useful
10,195,metal_nut,metal nut,specific,{} with a flipped orientation,metal nut with a flipped orientation,1.0,1.0,-2.75,-2.74,0.639,-3.48984375,-2.07734375,24,-2.484,-2.494,0.7046,-3.4140625,-1.596875,93,-0.2656,dangerous_useless
11,196,metal_nut,metal nut,specific,{} with scratch,metal nut with scratch,1.0,1.0,-1.117,-1.108,0.289,-1.453125,-0.69921875,24,-1.156,-1.162,0.306,-1.54375,-0.8093750000000001,93,0.03906,dangerous_useful
0,248,pill,pill,generic,damaged {},damaged pill,1.0,1.0,-5.812,-5.008,1.494,-6.4109375,-2.91171875,28,-5.89,-5.53,1.24,-6.6875,-4.0,141,0.0781,dangerous_useful
1,249,pill,pill,generic,flawed {},flawed pill,0.3214285714285714,0.3571428571428571,0.461,0.334,0.566,-0.4343749999999999,0.95625,28,0.2969,0.3013,0.565,-0.390625,1.078125,141,0.1641,dangerous_useful
2,250,pill,pill,generic,abnormal {},abnormal pill,0.8928571428571429,0.8928571428571429,-2.562,-2.074,1.462,-3.68125,0.0156250000000005,28,-2.375,-2.238,1.227,-3.515625,-0.5625,141,-0.1875,dangerous_useless
3,251,pill,pill,generic,imperfect {},imperfect pill,1.0,1.0,-4.625,-4.4,0.9717,-5.4109375,-3.16875,28,-4.58,-4.387,1.105,-5.5,-3.078125,141,-0.04688,dangerous_useless
4,252,pill,pill,generic,blemished {},blemished pill,0.9642857142857144,0.9642857142857144,-1.797,-1.493,0.71,-2.01015625,-0.5234374999999998,28,-1.781,-1.555,0.691,-2.109375,-0.625,141,-0.01563,dangerous_useless
5,253,pill,pill,generic,{} with flaw,pill with flaw,0.9642857142857144,0.9642857142857144,-4.094,-3.615,1.305,-4.8171875,-1.825,28,-4.125,-3.777,1.3545,-4.828125,-2.171875,141,0.03125,dangerous_useful
6,254,pill,pill,generic,{} with defect,pill with defect,1.0,1.0,-4.938,-4.42,1.26,-5.61875,-2.615625,28,-4.984,-4.785,1.103,-5.875,-3.4375,141,0.04688,dangerous_useful
7,255,pill,pill,generic,{} with damage,pill with damage,0.9642857142857144,0.9642857142857144,-2.555,-2.178,1.056,-3.125,-0.6132812499999998,28,-2.938,-2.77,0.9707,-3.796875,-1.46875,141,0.3828,dangerous_useful
