dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,macaroni2,2,seg,max,95.70362622254707,89.60617721587062,95.70362622254707,6.097449006676456,,
visa,macaroni2,2,seg,harmonic,96.48138804944838,90.33438644726377,96.48138804944838,6.147001602184616,,
visa,macaroni2,2,seg,oracle,95.70362622254707,89.60617721587062,95.70362622254707,6.097449006676456,,
visa,fryum,2,seg,semantic,91.11339589055866,,,,,
visa,fryum,2,seg,memory,94.83269037653183,,,,,
visa,fryum,2,seg,max,95.36518294968003,74.38324200794675,95.36518294968003,20.981940941733285,,
visa,fryum,2,seg,harmonic,97.03140729800445,75.68286903227015,97.03140729800445,21.348538265734305,,
visa,fryum,2,seg,oracle,95.36518294968003,74.38324200794675,95.36518294968003,20.981940941733285,,
visa,macaroni2,2,cls,semantic,66.76149999999998,,,,,
visa,macaroni2,2,cls,memory,77.49499999999999,,,,,
visa,macaroni2,2,cls,max,77.5565,66.76149999999998,77.49499999999999,0.06150000000001432,,
visa,macaroni2,2,cls,harmonic,76.92049999999999,66.76149999999998,77.49499999999999,-0.5745,,
visa,macaroni2,2,cls,oracle,100.0,66.76149999999998,77.49499999999999,22.50500000000001,90.72727272727272,9.272727272727273
visa,capsules,2,cls,semantic,55.942691029900324,,,,,
visa,capsules,2,cls,memory,76.39867109634551,,,,,
visa,capsules,2,cls,max,76.17109634551495,55.942691029900324,76.39867109634551,-0.22757475083056145,,
visa,capsules,2,cls,harmonic,75.00996677740864,55.942691029900324,76.39867109634551,-1.3887043189368842,,
visa,capsules,2,cls,oracle,100.0,55.942691029900324,76.39867109634551,23.601328903654483,85.47008547008546,14.529914529914532
visa,candle,2,cls,semantic,95.11800000000001,,,,,
visa,candle,2,cls,memory,84.341,,,,,
visa,candle,2,cls,max,95.11800000000001,95.11800000000001,84.341,0.0,,
visa,candle,2,cls,harmonic,85.031,95.11800000000001,84.341,-10.087000000000002,,
visa,candle,2,cls,oracle,100.0,95.11800000000001,84.341,4.881999999999998,9.090909090909092,90.9090909090909
visa,pcb4,2,seg,semantic,92.62819085447312,,,,,
visa,pcb4,2,seg,memory,93.16805911335392,,,,,
visa,pcb4,2,seg,max,96.85820497876166,64.97393548623202,96.85820497876166,31.88426949252964,,
visa,pcb4,2,seg,harmonic,96.36568826440316,64.64354789303187,96.36568826440316,31.722140371371296,,
visa,pcb4,2,seg,oracle,96.85820497876166,64.97393548623202,96.85820497876166,31.88426949252964,,
visa,pipe_fryum,2,seg,semantic,99.00656045665119,,,,,
visa,pipe_fryum,2,seg,memory,99.53958961743807,,,,,
visa,pipe_fryum,2,seg,max,99.53953816028184,20.167733490757804,99.53953816028184,79.37180466952404,,
visa,pipe_fryum,2,seg,harmonic,99.50818104536576,20.161380216989865,99.50818104536576,79.34680082837589,,
visa,pipe_fryum,2,seg,oracle,99.53953816028184,20.167733490757804,99.53953816028184,79.37180466952404,,
visa,capsules,2,seg,semantic,67.58924263300752,,,,,
visa,capsules,2,seg,memory,94.41306537670278,,,,,
visa,capsules,2,seg,max,94.41353723781054,24.047705749184832,94.41353723781054,70.36583148862572,,
visa,capsules,2,seg,harmonic,73.96046166938781,18.83818222824745,73.96046166938781,55.122279441140364,,
visa,capsules,2,seg,oracle,94.41353723781054,24.047705749184832,94.41353723781054,70.36583148862572,,
visa,pcb1,2,cls,semantic,90.84661354581674,,,,,
visa,pcb1,2,cls,memory,93.11752988047809,,,,,
visa,pcb1,2,cls,max,93.1195219123506,90.84661354581674,93.11752988047809,0.0019920318725108466,,
visa,pcb1,2,cls,harmonic,94.68625498007968,90.84661354581674,93.11752988047809,1.5687250996015867,,
visa,pcb1,2,cls,oracle,100.0,90.84661354581674,93.11752988047809,6.88247011952191,90.76086956521739,9.239130434782608
visa,macaroni1,2,cls,semantic,83.55550000000001,,,,,
visa,macaroni1,2,cls,memory,81.279,,,,,
visa,macaroni1,2,cls,max,86.206,83.55550000000001,81.279,2.6505,,
visa,macaroni1,2,cls,harmonic,83.3825,83.55550000000001,81.279,-0.17300000000001203,,
visa,macaroni1,2,cls,oracle,99.88,83.55550000000001,81.279,16.324499999999997,6.8181818181818175,93.18181818181817
visa,pcb2,2,seg,semantic,90.45336831602984,,,,,
visa,pcb2,2,seg,memory,90.21220205261587,,,,,
