dataset,class,k_shot,task,max,harmonic,diff,semantic,memory,branch_gap,weak_branch
mvtec,pill,2,cls,92.53955264593563,92.92144026186581,-0.3818876159301823,85.50190943807965,92.77141298417895,7.269503546099301,semantic
mvtec,wood,2,seg,96.56460974404321,96.27920864595666,0.28540109808655245,,,0.0,unknown
mvtec,hazelnut,2,cls,99.85714285714286,96.58928571428571,3.267857142857153,80.10714285714286,99.85714285714286,19.75,semantic
mvtec,zipper,2,seg,92.58231636895579,90.36071849262211,2.221597876333675,,,0.0,unknown
mvtec,cable,2,cls,95.00562218890555,94.4527736131934,0.5528485757121473,83.60194902548726,92.82233883058471,9.220389805097454,semantic
mvtec,carpet,2,cls,100.0,99.8796147672552,0.12038523274479473,99.99999999999999,99.79935794542536,0.20064205457462947,memory
mvtec,toothbrush,2,cls,94.02777777777779,78.05555555555556,15.972222222222229,69.58333333333333,94.16666666666667,24.583333333333343,semantic
mvtec,metal_nut,2,seg,94.36515036499476,93.16411793104339,1.2010324339513687,,,0.0,unknown
mvtec,zipper,2,cls,91.59663865546219,75.95850840336135,15.638130252100837,94.22268907563026,73.05672268907564,21.165966386554615,memory
mvtec,bottle,2,seg,98.61323145495248,95.43700655857165,3.1762248963808304,,,0.0,unknown
mvtec,tile,2,cls,99.96392496392497,98.98989898989899,0.9740259740259773,99.96392496392497,98.59307359307358,1.3708513708513834,memory
mvtec,leather,2,seg,99.39165609616235,99.34372546610624,0.047930630056114865,,,0.0,unknown
mvtec,cable,2,seg,96.00464198990927,95.30078986381064,0.7038521260986386,,,0.0,unknown
mvtec,screw,2,seg,92.09613591783624,90.64423360356784,1.451902314268395,,,0.0,unknown
mvtec,metal_nut,2,cls,99.38905180840665,99.48680351906158,-0.09775171065493282,85.55718475073313,99.41348973607037,13.856304985337246,semantic
mvtec,grid,2,cls,98.87218045112782,97.45196324143693,1.4202172096908896,98.87218045112782,97.24310776942356,1.6290726817042582,memory
mvtec,hazelnut,4,seg,98.75566561726087,98.44657418120757,0.3090914360533077,,,0.0,unknown
mvtec,capsule,4,cls,90.28719585161548,87.19585161547667,3.0913442361388093,90.30714000797767,84.24411647387315,6.063023534104516,memory
mvtec,pill,4,seg,95.96914980192126,94.82597263218348,1.1431771697377826,,,0.0,unknown
mvtec,transistor,4,seg,91.98687823147993,79.84037464077437,12.146503590705564,,,0.0,unknown
mvtec,carpet,4,seg,99.4053101646449,99.30542153702486,0.09988862762004658,,,0.0,unknown
mvtec,toothbrush,4,seg,99.08344649739867,98.70387011423354,0.37957638316513,,,0.0,unknown
mvtec,leather,4,cls,100.0,99.18478260869566,0.8152173913043441,100.0,99.08288043478261,0.9171195652173907,memory
mvtec,grid,4,seg,98.18775299962769,97.83749333809814,0.3502596615295488,,,0.0,unknown
mvtec,screw,4,cls,66.8784587005534,64.94158639065382,1.9368723098995702,58.00368928059029,66.18159458905514,8.177905308464851,semantic
mvtec,transistor,4,cls,91.625,90.5,1.125,91.20833333333334,87.54166666666666,3.6666666666666856,memory
mvtec,tile,4,seg,96.8700109677872,96.24598607315072,0.6240248946364773,,,0.0,unknown
mvtec,bottle,4,cls,99.64285714285714,99.84126984126985,-0.19841269841271014,97.5,99.68253968253968,2.1825396825396837,semantic
